diagnosis	species	context	group_detected	group_total	group_detect_rate	rest_detected	rest_total	rest_detect_rate	detect_rate_delta	group_median_fraction	rest_median_fraction	median_fraction_delta	fisher_p	bh_fdr	priority_score
Bacterial infection	Pseudomonas aeruginosa	wetlab_priority_pathogen	23	114	0.20175	7	286	0.02448	0.17728	0.00000000	0.00000000	0.00000000	1.62397e-08	2.48792e-05	3.77280
Bacterial infection	Haemophilus influenzae	wetlab_priority_pathogen	18	114	0.15789	17	286	0.05944	0.09845	0.00000000	0.00000000	0.00000000	0.00288732	0.260199	2.98450
Bacterial infection	Candida albicans	wetlab_priority_pathogen	1	114	0.00877	19	286	0.06643	-0.05766	0.00000000	0.00000000	0.00000000	0.0192549	0.983283	1.42340
Bacterial infection	Stenotrophomonas maltophilia	wetlab_priority_pathogen	9	114	0.07895	10	286	0.03497	0.04398	0.00000000	0.00000000	0.00000000	0.0712919	1	2.43980
Bacterial infection	Staphylococcus aureus	wetlab_priority_pathogen	7	114	0.06140	5	286	0.01748	0.04392	0.00000000	0.00000000	0.00000000	0.0440635	1	2.43920
Bacterial infection	Streptococcus pneumoniae	wetlab_priority_pathogen	20	114	0.17544	40	286	0.13986	0.03558	0.00000000	0.00000000	0.00000000	0.357327	1	2.35580
Bacterial infection	Klebsiella pneumoniae	wetlab_priority_pathogen	5	114	0.04386	7	286	0.02448	0.01938	0.00000000	0.00000000	0.00000000	0.334729	1	2.19380
Bacterial infection	Acinetobacter baumannii	wetlab_priority_pathogen	4	114	0.03509	9	286	0.03147	0.00362	0.00000000	0.00000000	0.00000000	1	1	2.03620
Bacterial infection	Cryptococcus neoformans	wetlab_priority_pathogen	0	114	0.00000	8	286	0.02797	-0.02797	0.00000000	0.00000000	0.00000000	0.111774	1	1.72030
Bacterial infection	Mycobacterium tuberculosis	wetlab_priority_pathogen	0	114	0.00000	9	286	0.03147	-0.03147	0.00000000	0.00000000	0.00000000	0.0654721	1	1.68530
Bacterial infection	Aspergillus fumigatus	wetlab_priority_pathogen	0	114	0.00000	11	286	0.03846	-0.03846	0.00000000	0.00000000	0.00000000	0.0385193	1	1.61540
Bacterial infection	Porphyromonas gingivalis	other_taxon	27	114	0.23684	22	286	0.07692	0.15992	0.00000000	0.00000000	0.00000000	3.17089e-05	0.0121445	1.59920
Bacterial infection	Campylobacter rectus	other_taxon	25	114	0.21930	19	286	0.06643	0.15286	0.00000000	0.00000000	0.00000000	3.01941e-05	0.0121445	1.52860
Bacterial infection	Porphyromonas endodontalis	other_taxon	29	114	0.25439	27	286	0.09441	0.15998	0.00000000	0.00000000	0.00000000	8.96234e-05	0.0274606	1.59980
Bacterial infection	Parvimonas micra	other_taxon	27	114	0.23684	26	286	0.09091	0.14593	0.00000000	0.00000000	0.00000000	0.000247232	0.047345	1.45930
Bacterial infection	Fusobacterium nucleatum	oral_respiratory_commensal_context	27	114	0.23684	27	286	0.09441	0.14244	0.00000000	0.00000000	0.00000000	0.000318358	0.0541916	1.42440
Bacterial infection	Pyramidobacter piscolens	other_taxon	6	114	0.05263	0	286	0.00000	0.05263	0.00000000	0.00000000	0.00000000	0.000486793	0.0745768	0.52630
Bacterial infection	Tannerella forsythia	other_taxon	21	114	0.18421	18	286	0.06294	0.12127	0.00000000	0.00000000	0.00000000	0.000563537	0.0784854	1.21270
Bacterial infection	Filifactor alocis	other_taxon	14	114	0.12281	10	286	0.03497	0.08784	0.00000000	0.00000000	0.00000000	0.00179507	0.183336	0.87840
Bacterial infection	Treponema denticola	other_taxon	19	114	0.16667	18	286	0.06294	0.10373	0.00000000	0.00000000	0.00000000	0.00205724	0.196981	1.03730
Bacterial infection	Treponema vincentii	other_taxon	13	114	0.11404	10	286	0.03497	0.07907	0.00000000	0.00000000	0.00000000	0.00380976	0.324253	0.79070
Bacterial infection	Bacteroides zoogleoformans	other_taxon	9	114	0.07895	5	286	0.01748	0.06146	0.00000000	0.00000000	0.00000000	0.00494987	0.329704	0.61460
Bacterial infection	Fusobacterium periodonticum	other_taxon	9	114	0.07895	5	286	0.01748	0.06146	0.00000000	0.00000000	0.00000000	0.00494987	0.329704	0.61460
Bacterial infection	Bacteroides heparinolyticus	other_taxon	14	114	0.12281	12	286	0.04196	0.08085	0.00000000	0.00000000	0.00000000	0.00581848	0.371413	0.80850
Bacterial infection	Prevotella intermedia	oral_respiratory_commensal_context	27	114	0.23684	42	286	0.14685	0.08999	0.00000000	0.00000000	0.00000000	0.0397183	1	0.89990
Bacterial infection	Prevotella nigrescens	other_taxon	23	114	0.20175	37	286	0.12937	0.07238	0.00000000	0.00000000	0.00000000	0.0870474	1	0.72380
Bacterial infection	Campylobacter showae	other_taxon	12	114	0.10526	14	286	0.04895	0.05631	0.00000000	0.00000000	0.00000000	0.0452686	1	0.56310
Bacterial infection	Treponema medium	other_taxon	9	114	0.07895	8	286	0.02797	0.05098	0.00000000	0.00000000	0.00000000	0.0293332	1	0.50980
Bacterial infection	Prevotella denticola	other_taxon	14	114	0.12281	21	286	0.07343	0.04938	0.00000000	0.00000000	0.00000000	0.120387	1	0.49380
Bacterial infection	Prevotella veroralis	other_taxon	17	114	0.14912	29	286	0.10140	0.04772	0.00000000	0.00000000	0.00000000	0.223334	1	0.47720
Bacterial infection	Streptococcus sp. oral taxon 061	other_taxon	13	114	0.11404	19	286	0.06643	0.04760	0.00000000	0.00000000	0.00000000	0.151094	1	0.47600
Bacterial infection	Streptococcus anginosus	other_taxon	9	114	0.07895	9	286	0.03147	0.04748	0.00000000	0.00000000	0.00000000	0.0578354	1	0.47480
Bacterial infection	Streptococcus oralis	oral_respiratory_commensal_context	22	114	0.19298	43	286	0.15035	0.04263	0.00000000	0.00000000	0.00000000	0.29697	1	0.42630
Bacterial infection	Haemophilus haemolyticus	other_taxon	10	114	0.08772	13	286	0.04545	0.04226	0.00000000	0.00000000	0.00000000	0.150474	1	0.42260
Bacterial infection	Mogibacterium pumilum	other_taxon	8	114	0.07018	8	286	0.02797	0.04220	0.00000000	0.00000000	0.00000000	0.0847689	1	0.42200
Bacterial infection	Leptotrichia sp. oral taxon 212	other_taxon	9	114	0.07895	11	286	0.03846	0.04049	0.00000000	0.00000000	0.00000000	0.124702	1	0.40490
Bacterial infection	Porphyromonas sp. oral taxon 275	other_taxon	9	114	0.07895	11	286	0.03846	0.04049	0.00000000	0.00000000	0.00000000	0.124702	1	0.40490
Bacterial infection	Treponema socranskii	other_taxon	7	114	0.06140	6	286	0.02098	0.04042	0.00000000	0.00000000	0.00000000	0.0572115	1	0.40420
Bacterial infection	Fusobacterium pseudoperiodonticum	other_taxon	16	114	0.14035	29	286	0.10140	0.03895	0.00000000	0.00000000	0.00000000	0.293667	1	0.38950
Bacterial infection	Prevotella enoeca	other_taxon	8	114	0.07018	9	286	0.03147	0.03871	0.00000000	0.00000000	0.00000000	0.100118	1	0.38710
Bacterial infection	Dialister pneumosintes	other_taxon	6	114	0.05263	4	286	0.01399	0.03865	0.00000000	0.00000000	0.00000000	0.0353156	1	0.38650
Bacterial infection	Streptococcus constellatus	other_taxon	6	114	0.05263	4	286	0.01399	0.03865	0.00000000	0.00000000	0.00000000	0.0353156	1	0.38650
Bacterial infection	Campylobacter concisus	other_taxon	17	114	0.14912	33	286	0.11538	0.03374	0.00000000	0.00000000	0.00000000	0.402559	1	0.33740
Bacterial infection	Rothia aeria	other_taxon	13	114	0.11404	23	286	0.08042	0.03362	0.00000000	0.00000000	0.00000000	0.33315	1	0.33620
Bacterial infection	Streptococcus sp. Marseille-Q3533	other_taxon	13	114	0.11404	23	286	0.08042	0.03362	0.00000000	0.00000000	0.00000000	0.33315	1	0.33620
Bacterial infection	Neisseria subflava	other_taxon	11	114	0.09649	18	286	0.06294	0.03355	0.00000000	0.00000000	0.00000000	0.285227	1	0.33550
Bacterial infection	Neisseria flavescens	other_taxon	9	114	0.07895	13	286	0.04545	0.03349	0.00000000	0.00000000	0.00000000	0.223633	1	0.33490
Bacterial infection	Capnocytophaga gingivalis	other_taxon	14	114	0.12281	26	286	0.09091	0.03190	0.00000000	0.00000000	0.00000000	0.357879	1	0.31900
Bacterial infection	Capnocytophaga leadbetteri	other_taxon	12	114	0.10526	21	286	0.07343	0.03184	0.00000000	0.00000000	0.00000000	0.316353	1	0.31840
Bacterial infection	Capnocytophaga sp. FDAARGOS_737	other_taxon	12	114	0.10526	21	286	0.07343	0.03184	0.00000000	0.00000000	0.00000000	0.316353	1	0.31840
Bacterial infection	Prevotella scopos	other_taxon	10	114	0.08772	16	286	0.05594	0.03178	0.00000000	0.00000000	0.00000000	0.263899	1	0.31780
Bacterial infection	Streptococcus ilei	other_taxon	10	114	0.08772	16	286	0.05594	0.03178	0.00000000	0.00000000	0.00000000	0.263899	1	0.31780
Bacterial infection	Haemophilus parahaemolyticus	other_taxon	8	114	0.07018	11	286	0.03846	0.03171	0.00000000	0.00000000	0.00000000	0.196135	1	0.31710
Bacterial infection	Human alphaherpesvirus 1	other_taxon	4	114	0.03509	1	286	0.00350	0.03159	0.00000000	0.00000000	0.00000000	0.024697	1	0.31590
Bacterial infection	Treponema parvum	other_taxon	4	114	0.03509	1	286	0.00350	0.03159	0.00000000	0.00000000	0.00000000	0.024697	1	0.31590
Bacterial infection	Streptococcus sanguinis	other_taxon	15	114	0.13158	29	286	0.10140	0.03018	0.00000000	0.00000000	0.00000000	0.38082	1	0.30180
Bacterial infection	Neisseria sicca	other_taxon	13	114	0.11404	24	286	0.08392	0.03012	0.00000000	0.00000000	0.00000000	0.344695	1	0.30120
Bacterial infection	Prevotella histicola	other_taxon	13	114	0.11404	24	286	0.08392	0.03012	0.00000000	0.00000000	0.00000000	0.344695	1	0.30120
Bacterial infection	Metamycoplasma salivarium	other_taxon	7	114	0.06140	9	286	0.03147	0.02993	0.00000000	0.00000000	0.00000000	0.169164	1	0.29930
Bacterial infection	Prevotella fusca	other_taxon	7	114	0.06140	9	286	0.03147	0.02993	0.00000000	0.00000000	0.00000000	0.169164	1	0.29930
Bacterial infection	Granulicatella adiacens	other_taxon	16	114	0.14035	32	286	0.11189	0.02846	0.00000000	0.00000000	0.00000000	0.495374	1	0.28460
Bacterial infection	Streptococcus sp. Marseille-Q6470	other_taxon	12	114	0.10526	22	286	0.07692	0.02834	0.00000000	0.00000000	0.00000000	0.426661	1	0.28340
Bacterial infection	Streptococcus toyakuensis	other_taxon	12	114	0.10526	22	286	0.07692	0.02834	0.00000000	0.00000000	0.00000000	0.426661	1	0.28340
Bacterial infection	Streptococcus cristatus	other_taxon	10	114	0.08772	17	286	0.05944	0.02828	0.00000000	0.00000000	0.00000000	0.376553	1	0.28280
Bacterial infection	Prevotella multiformis	other_taxon	6	114	0.05263	7	286	0.02448	0.02816	0.00000000	0.00000000	0.00000000	0.207872	1	0.28160
Bacterial infection	Gemella sanguinis	other_taxon	15	114	0.13158	30	286	0.10490	0.02668	0.00000000	0.00000000	0.00000000	0.484016	1	0.26680
Bacterial infection	Lautropia mirabilis	other_taxon	11	114	0.09649	20	286	0.06993	0.02656	0.00000000	0.00000000	0.00000000	0.408289	1	0.26560
Bacterial infection	Streptococcus rubneri	other_taxon	7	114	0.06140	10	286	0.03497	0.02644	0.00000000	0.00000000	0.00000000	0.273036	1	0.26440
Bacterial infection	Acinetobacter guillouiae	other_taxon	5	114	0.04386	5	286	0.01748	0.02638	0.00000000	0.00000000	0.00000000	0.15628	1	0.26380
Bacterial infection	Aggregatibacter aphrophilus	other_taxon	5	114	0.04386	5	286	0.01748	0.02638	0.00000000	0.00000000	0.00000000	0.15628	1	0.26380
Bacterial infection	Corynebacterium macginleyi	other_taxon	5	114	0.04386	5	286	0.01748	0.02638	0.00000000	0.00000000	0.00000000	0.15628	1	0.26380
Bacterial infection	Schaalia cardiffensis	other_taxon	5	114	0.04386	5	286	0.01748	0.02638	0.00000000	0.00000000	0.00000000	0.15628	1	0.26380
Bacterial infection	Streptococcus sp. 1643	other_taxon	5	114	0.04386	5	286	0.01748	0.02638	0.00000000	0.00000000	0.00000000	0.15628	1	0.26380
Bacterial infection	Bradyrhizobium sp. BTAi1	other_taxon	3	114	0.02632	0	286	0.00000	0.02632	0.00000000	0.00000000	0.00000000	0.0227136	1	0.26320
Bacterial infection	Helianthus annuus	other_taxon	3	114	0.02632	0	286	0.00000	0.02632	0.00000000	0.00000000	0.00000000	0.0227136	1	0.26320
Bacterial infection	Veillonella rogosae	other_taxon	14	114	0.12281	28	286	0.09790	0.02490	0.00000000	0.00000000	0.00000000	0.472793	1	0.24900
Bacterial infection	Streptococcus infantis	other_taxon	12	114	0.10526	23	286	0.08042	0.02484	0.00000000	0.00000000	0.00000000	0.436507	1	0.24840
Bacterial infection	Candidatus Nanosynbacter sp. HMT-352	other_taxon	10	114	0.08772	18	286	0.06294	0.02478	0.00000000	0.00000000	0.00000000	0.389572	1	0.24780
Bacterial infection	Streptococcus sp. 116-D4	other_taxon	10	114	0.08772	18	286	0.06294	0.02478	0.00000000	0.00000000	0.00000000	0.389572	1	0.24780
Bacterial infection	Xanthomonas campestris	other_taxon	8	114	0.07018	13	286	0.04545	0.02472	0.00000000	0.00000000	0.00000000	0.32627	1	0.24720
Bacterial infection	Lachnoanaerobaculum umeaense	other_taxon	6	114	0.05263	8	286	0.02797	0.02466	0.00000000	0.00000000	0.00000000	0.236254	1	0.24660
Bacterial infection	Neisseria meningitidis	other_taxon	6	114	0.05263	8	286	0.02797	0.02466	0.00000000	0.00000000	0.00000000	0.236254	1	0.24660
Bacterial infection	Neisseria sp. oral taxon 014	other_taxon	6	114	0.05263	8	286	0.02797	0.02466	0.00000000	0.00000000	0.00000000	0.236254	1	0.24660
Bacterial infection	Cupriavidus metallidurans	other_taxon	4	114	0.03509	3	286	0.01049	0.02460	0.00000000	0.00000000	0.00000000	0.105498	1	0.24600
Bacterial infection	Prevotella copri	other_taxon	4	114	0.03509	3	286	0.01049	0.02460	0.00000000	0.00000000	0.00000000	0.105498	1	0.24600
Bacterial infection	Sphingobium sp. YG1	other_taxon	4	114	0.03509	3	286	0.01049	0.02460	0.00000000	0.00000000	0.00000000	0.105498	1	0.24600
Bacterial infection	Prevotella oris	other_taxon	13	114	0.11404	26	286	0.09091	0.02313	0.00000000	0.00000000	0.00000000	0.461849	1	0.23130
Bacterial infection	Mogibacterium diversum	other_taxon	11	114	0.09649	21	286	0.07343	0.02306	0.00000000	0.00000000	0.00000000	0.422404	1	0.23060
Bacterial infection	Lancefieldella parvula	other_taxon	7	114	0.06140	11	286	0.03846	0.02294	0.00000000	0.00000000	0.00000000	0.422006	1	0.22940
Bacterial infection	Dolosigranulum pigrum	other_taxon	5	114	0.04386	6	286	0.02098	0.02288	0.00000000	0.00000000	0.00000000	0.30639	1	0.22880
Bacterial infection	Sphingomonas melonis	other_taxon	5	114	0.04386	6	286	0.02098	0.02288	0.00000000	0.00000000	0.00000000	0.30639	1	0.22880
Bacterial infection	Bacteroides uniformis	other_taxon	3	114	0.02632	1	286	0.00350	0.02282	0.00000000	0.00000000	0.00000000	0.0718023	1	0.22820
Bacterial infection	Burkholderia cenocepacia	other_taxon	3	114	0.02632	1	286	0.00350	0.02282	0.00000000	0.00000000	0.00000000	0.0718023	1	0.22820
Bacterial infection	Carnobacterium maltaromaticum	other_taxon	3	114	0.02632	1	286	0.00350	0.02282	0.00000000	0.00000000	0.00000000	0.0718023	1	0.22820
Bacterial infection	Fusobacterium sp. oral taxon 203	other_taxon	3	114	0.02632	1	286	0.00350	0.02282	0.00000000	0.00000000	0.00000000	0.0718023	1	0.22820
Bacterial infection	Paraburkholderia aromaticivorans	other_taxon	3	114	0.02632	1	286	0.00350	0.02282	0.00000000	0.00000000	0.00000000	0.0718023	1	0.22820
Bacterial infection	Porphyromonas crevioricanis	other_taxon	3	114	0.02632	1	286	0.00350	0.02282	0.00000000	0.00000000	0.00000000	0.0718023	1	0.22820
Bacterial infection	Streptococcus salivarius	other_taxon	14	114	0.12281	29	286	0.10140	0.02141	0.00000000	0.00000000	0.00000000	0.591947	1	0.21410
Bacterial infection	Streptococcus sp. oral taxon 431	other_taxon	14	114	0.12281	29	286	0.10140	0.02141	0.00000000	0.00000000	0.00000000	0.591947	1	0.21410
Bacterial infection	Capnocytophaga endodontalis	other_taxon	6	114	0.05263	9	286	0.03147	0.02116	0.00000000	0.00000000	0.00000000	0.38139	1	0.21160
Bacterial infection	Neisseria macacae	other_taxon	6	114	0.05263	9	286	0.03147	0.02116	0.00000000	0.00000000	0.00000000	0.38139	1	0.21160
Bacterial infection	Streptococcus intermedius	other_taxon	6	114	0.05263	9	286	0.03147	0.02116	0.00000000	0.00000000	0.00000000	0.38139	1	0.21160
Bacterial infection	Burkholderia multivorans	other_taxon	4	114	0.03509	4	286	0.01399	0.02110	0.00000000	0.00000000	0.00000000	0.232014	1	0.21100
Bacterial infection	Streptococcus suis	other_taxon	4	114	0.03509	4	286	0.01399	0.02110	0.00000000	0.00000000	0.00000000	0.232014	1	0.21100
Bacterial infection	Gemella morbillorum	other_taxon	11	114	0.09649	22	286	0.07692	0.01957	0.00000000	0.00000000	0.00000000	0.547738	1	0.19570
Bacterial infection	Streptococcus gwangjuense	other_taxon	11	114	0.09649	22	286	0.07692	0.01957	0.00000000	0.00000000	0.00000000	0.547738	1	0.19570
Bacterial infection	Streptococcus koreensis	other_taxon	7	114	0.06140	12	286	0.04196	0.01945	0.00000000	0.00000000	0.00000000	0.43786	1	0.19450
Bacterial infection	Selenomonas sputigena	other_taxon	5	114	0.04386	7	286	0.02448	0.01938	0.00000000	0.00000000	0.00000000	0.334729	1	0.19380
Bacterial infection	Bacteroides thetaiotaomicron	other_taxon	3	114	0.02632	2	286	0.00699	0.01932	0.00000000	0.00000000	0.00000000	0.14246	1	0.19320
Bacterial infection	Desulfobulbus oralis	other_taxon	3	114	0.02632	2	286	0.00699	0.01932	0.00000000	0.00000000	0.00000000	0.14246	1	0.19320
Bacterial infection	Escherichia coli	other_taxon	3	114	0.02632	2	286	0.00699	0.01932	0.00000000	0.00000000	0.00000000	0.14246	1	0.19320
Bacterial infection	Ligilactobacillus salivarius	other_taxon	3	114	0.02632	2	286	0.00699	0.01932	0.00000000	0.00000000	0.00000000	0.14246	1	0.19320
Bacterial infection	Moraxella catarrhalis	other_taxon	3	114	0.02632	2	286	0.00699	0.01932	0.00000000	0.00000000	0.00000000	0.14246	1	0.19320
Bacterial infection	Neisseria bacilliformis	other_taxon	3	114	0.02632	2	286	0.00699	0.01932	0.00000000	0.00000000	0.00000000	0.14246	1	0.19320
Bacterial infection	Pseudomonas putida	other_taxon	3	114	0.02632	2	286	0.00699	0.01932	0.00000000	0.00000000	0.00000000	0.14246	1	0.19320
Bacterial infection	Simonsiella muelleri	other_taxon	3	114	0.02632	2	286	0.00699	0.01932	0.00000000	0.00000000	0.00000000	0.14246	1	0.19320
Bacterial infection	Streptococcus equi	other_taxon	3	114	0.02632	2	286	0.00699	0.01932	0.00000000	0.00000000	0.00000000	0.14246	1	0.19320
Bacterial infection	Streptococcus sp. FDAARGOS_192	other_taxon	3	114	0.02632	2	286	0.00699	0.01932	0.00000000	0.00000000	0.00000000	0.14246	1	0.19320
Bacterial infection	Zea mays	other_taxon	3	114	0.02632	2	286	0.00699	0.01932	0.00000000	0.00000000	0.00000000	0.14246	1	0.19320
Bacterial infection	Streptococcus mitis	oral_respiratory_commensal_context	24	114	0.21053	55	286	0.19231	0.01822	0.00000000	0.00000000	0.00000000	0.678329	1	0.18220
Bacterial infection	Veillonella atypica	other_taxon	18	114	0.15789	40	286	0.13986	0.01803	0.00000000	0.00000000	0.00000000	0.639574	1	0.18030
Bacterial infection	Capnocytophaga sputigena	other_taxon	12	114	0.10526	25	286	0.08741	0.01785	0.00000000	0.00000000	0.00000000	0.570487	1	0.17850
Bacterial infection	Streptococcus pseudopneumoniae	other_taxon	12	114	0.10526	25	286	0.08741	0.01785	0.00000000	0.00000000	0.00000000	0.570487	1	0.17850
Bacterial infection	Malassezia restricta	other_taxon	10	114	0.08772	20	286	0.06993	0.01779	0.00000000	0.00000000	0.00000000	0.533427	1	0.17790
Bacterial infection	Streptococcus australis	other_taxon	8	114	0.07018	15	286	0.05245	0.01773	0.00000000	0.00000000	0.00000000	0.482514	1	0.17730
Bacterial infection	Aggregatibacter segnis	other_taxon	4	114	0.03509	5	286	0.01748	0.01761	0.00000000	0.00000000	0.00000000	0.281905	1	0.17610
Bacterial infection	Eikenella corrodens	other_taxon	4	114	0.03509	5	286	0.01748	0.01761	0.00000000	0.00000000	0.00000000	0.281905	1	0.17610
Bacterial infection	Paraburkholderia fungorum	other_taxon	4	114	0.03509	5	286	0.01748	0.01761	0.00000000	0.00000000	0.00000000	0.281905	1	0.17610
Bacterial infection	Acinetobacter johnsonii	other_taxon	9	114	0.07895	18	286	0.06294	0.01601	0.00000000	0.00000000	0.00000000	0.658945	1	0.16010
Bacterial infection	Streptococcus gordonii	other_taxon	9	114	0.07895	18	286	0.06294	0.01601	0.00000000	0.00000000	0.00000000	0.658945	1	0.16010
Bacterial infection	Morococcus cerebrosus	other_taxon	5	114	0.04386	8	286	0.02797	0.01589	0.00000000	0.00000000	0.00000000	0.531887	1	0.15890
Bacterial infection	Olsenella uli	other_taxon	5	114	0.04386	8	286	0.02797	0.01589	0.00000000	0.00000000	0.00000000	0.531887	1	0.15890
Bacterial infection	Acidovorax sp. KKS102	other_taxon	3	114	0.02632	3	286	0.01049	0.01583	0.00000000	0.00000000	0.00000000	0.358736	1	0.15830
Bacterial infection	Acinetobacter sp. TTH0-4	other_taxon	3	114	0.02632	3	286	0.01049	0.01583	0.00000000	0.00000000	0.00000000	0.358736	1	0.15830
Bacterial infection	Neomicrococcus aestuarii	other_taxon	3	114	0.02632	3	286	0.01049	0.01583	0.00000000	0.00000000	0.00000000	0.358736	1	0.15830
Bacterial infection	Haemophilus parainfluenzae	other_taxon	20	114	0.17544	46	286	0.16084	0.01460	0.00000000	0.00000000	0.00000000	0.76577	1	0.14600
Bacterial infection	Rothia dentocariosa	other_taxon	8	114	0.07018	16	286	0.05594	0.01423	0.00000000	0.00000000	0.00000000	0.641886	1	0.14230
Bacterial infection	Streptococcus sp. A12	other_taxon	6	114	0.05263	11	286	0.03846	0.01417	0.00000000	0.00000000	0.00000000	0.584279	1	0.14170
Bacterial infection	Arachnia propionica	other_taxon	4	114	0.03509	6	286	0.02098	0.01411	0.00000000	0.00000000	0.00000000	0.480062	1	0.14110
Bacterial infection	Corynebacterium accolens	other_taxon	4	114	0.03509	6	286	0.02098	0.01411	0.00000000	0.00000000	0.00000000	0.480062	1	0.14110
Bacterial infection	Corynebacterium callunae	other_taxon	4	114	0.03509	6	286	0.02098	0.01411	0.00000000	0.00000000	0.00000000	0.480062	1	0.14110
Bacterial infection	Corynebacterium segmentosum	other_taxon	4	114	0.03509	6	286	0.02098	0.01411	0.00000000	0.00000000	0.00000000	0.480062	1	0.14110
Bacterial infection	Leptotrichia sp. oral taxon 221	other_taxon	4	114	0.03509	6	286	0.02098	0.01411	0.00000000	0.00000000	0.00000000	0.480062	1	0.14110
Bacterial infection	Prevotella dentalis	other_taxon	4	114	0.03509	6	286	0.02098	0.01411	0.00000000	0.00000000	0.00000000	0.480062	1	0.14110
Bacterial infection	Achromobacter xylosoxidans	other_taxon	2	114	0.01754	1	286	0.00350	0.01405	0.00000000	0.00000000	0.00000000	0.196716	1	0.14050
Bacterial infection	Acinetobacter ursingii	other_taxon	2	114	0.01754	1	286	0.00350	0.01405	0.00000000	0.00000000	0.00000000	0.196716	1	0.14050
Bacterial infection	Actinomyces sp. HMT 175	other_taxon	2	114	0.01754	1	286	0.00350	0.01405	0.00000000	0.00000000	0.00000000	0.196716	1	0.14050
Bacterial infection	Actinomyces viscosus	other_taxon	2	114	0.01754	1	286	0.00350	0.01405	0.00000000	0.00000000	0.00000000	0.196716	1	0.14050
Bacterial infection	Aeromonas salmonicida	other_taxon	2	114	0.01754	1	286	0.00350	0.01405	0.00000000	0.00000000	0.00000000	0.196716	1	0.14050
Bacterial infection	Bacillus cereus	other_taxon	2	114	0.01754	1	286	0.00350	0.01405	0.00000000	0.00000000	0.00000000	0.196716	1	0.14050
Bacterial infection	Bacteroides fragilis	other_taxon	2	114	0.01754	1	286	0.00350	0.01405	0.00000000	0.00000000	0.00000000	0.196716	1	0.14050
Bacterial infection	Brevundimonas pondensis	other_taxon	2	114	0.01754	1	286	0.00350	0.01405	0.00000000	0.00000000	0.00000000	0.196716	1	0.14050
Bacterial infection	Burkholderia cepacia	other_taxon	2	114	0.01754	1	286	0.00350	0.01405	0.00000000	0.00000000	0.00000000	0.196716	1	0.14050
Bacterial infection	Burkholderia contaminans	other_taxon	2	114	0.01754	1	286	0.00350	0.01405	0.00000000	0.00000000	0.00000000	0.196716	1	0.14050
Bacterial infection	Caldibacillus thermoamylovorans	other_taxon	2	114	0.01754	1	286	0.00350	0.01405	0.00000000	0.00000000	0.00000000	0.196716	1	0.14050
Bacterial infection	Conchiformibius steedae	other_taxon	2	114	0.01754	1	286	0.00350	0.01405	0.00000000	0.00000000	0.00000000	0.196716	1	0.14050
Bacterial infection	Corynebacterium resistens	other_taxon	2	114	0.01754	1	286	0.00350	0.01405	0.00000000	0.00000000	0.00000000	0.196716	1	0.14050
Bacterial infection	Fusobacterium canifelinum	other_taxon	2	114	0.01754	1	286	0.00350	0.01405	0.00000000	0.00000000	0.00000000	0.196716	1	0.14050
Bacterial infection	Kingella potus	other_taxon	2	114	0.01754	1	286	0.00350	0.01405	0.00000000	0.00000000	0.00000000	0.196716	1	0.14050
Bacterial infection	Kocuria rhizophila	other_taxon	2	114	0.01754	1	286	0.00350	0.01405	0.00000000	0.00000000	0.00000000	0.196716	1	0.14050
Bacterial infection	Leptotrichia sp. oral taxon 218	other_taxon	2	114	0.01754	1	286	0.00350	0.01405	0.00000000	0.00000000	0.00000000	0.196716	1	0.14050
Bacterial infection	Mesorhizobium terrae	other_taxon	2	114	0.01754	1	286	0.00350	0.01405	0.00000000	0.00000000	0.00000000	0.196716	1	0.14050
Bacterial infection	Neisseria chenwenguii	other_taxon	2	114	0.01754	1	286	0.00350	0.01405	0.00000000	0.00000000	0.00000000	0.196716	1	0.14050
Bacterial infection	Nicotiana attenuata	other_taxon	2	114	0.01754	1	286	0.00350	0.01405	0.00000000	0.00000000	0.00000000	0.196716	1	0.14050
Bacterial infection	Novosphingobium sp. EMRT-2	other_taxon	2	114	0.01754	1	286	0.00350	0.01405	0.00000000	0.00000000	0.00000000	0.196716	1	0.14050
Bacterial infection	Porphyromonas asaccharolytica	other_taxon	2	114	0.01754	1	286	0.00350	0.01405	0.00000000	0.00000000	0.00000000	0.196716	1	0.14050
Bacterial infection	Pseudomonas chengduensis	other_taxon	2	114	0.01754	1	286	0.00350	0.01405	0.00000000	0.00000000	0.00000000	0.196716	1	0.14050
Bacterial infection	Pseudomonas oleovorans	other_taxon	2	114	0.01754	1	286	0.00350	0.01405	0.00000000	0.00000000	0.00000000	0.196716	1	0.14050
Bacterial infection	Pseudomonas sp. phDV1	other_taxon	2	114	0.01754	1	286	0.00350	0.01405	0.00000000	0.00000000	0.00000000	0.196716	1	0.14050
Bacterial infection	Ralstonia solanacearum	other_taxon	2	114	0.01754	1	286	0.00350	0.01405	0.00000000	0.00000000	0.00000000	0.196716	1	0.14050
Bacterial infection	Sphingomonas sp. AAP5	other_taxon	2	114	0.01754	1	286	0.00350	0.01405	0.00000000	0.00000000	0.00000000	0.196716	1	0.14050
Bacterial infection	Treponema putidum	other_taxon	2	114	0.01754	1	286	0.00350	0.01405	0.00000000	0.00000000	0.00000000	0.196716	1	0.14050
