path	bytes	sha256
summary.md	2619	bf77a4aefdafe18aa8fb8a0df91fe64cd90e1a5fd45720085e83d8bdda3a5ffe
summary.json	936	d48369a2ef9cc1a6280346e3a2b135555aae7bee5001790378a0f27c5f34935f
methods/article_strategy.md	2402	143db714cbd3e3623e57b1f5168746f75cd4b4534e846294e4dd345c312f9f27
methods/parameters.json	1565	560da7b75142979f562bbb4350ff19111880d45ad2df8361183c6ce62cedd9f5
tables/article_findings.tsv	2116	cb753aa70cbfe59eec1f0791dd8fa0127fcf46935ad15ef7da6f2fcea1369612
statistics/permanova_permdisp.tsv	1396	090ba6d93cb7f79d75ce953152e3c93a0f26fe72196705df1ef86af5c0e9cdcd
associations/diagnosis_species_differential.tsv	14667	45f24394c3a77cdb139dd709d060289801902a10d6e6711f4288f6ec57e8b288
qc/cohort_qc.tsv	72365	e3e4cfbdaf412d20bd9ee6dd82e1e811d12046556b176adf0678c34c6373f790
audit/cohort_audit.tsv	70877	8037ec230c4bdbbf7497096e00de115dd7980a359fe055bd09fcf76fe5cde570
audit/data_availability.json	2639	c8cda536bd8b8511335e8b7f257e4056099cdebb23bb5ba310cc2e53b7ce28db
taxonomy/species_relative_abundance.tsv.gz	94239	7d4ce545524869be783aa3f2dc0371315f30db33d3ae6c324d13768f2396053d
taxonomy/species_landscape.tsv	98352	211e6a00661735d7ed9e11ec861e93bfde193059b1b0b0fa39405760d2dfc1cf
beta/aitchison_pcoa.tsv	61194	70033438c307e79d382e8b09e780c9c9f9e1bd4aa411aba5860d8b39d9c8d638
clustering/cluster_diagnostics.tsv	642	f1c6fa92b83309151a1f93a0611dcd714c1bb120dac2915508de45cd25738471
clustering/sample_community_states.tsv	14981	ffda961304850890f4bed4e5b9e2cfa18c090eb260746a2800a44d7ff2ceaa86
integration_30/selection_bias_metrics.tsv	807	306be954560c282f333e546f687b97fda270eda5c96004a12664c77393d51a03
integration_30/community_state_coverage_k2_k10.tsv	2290	b3d30789439dfe87f8eab67a38a6a0e444d01bee84be379ef169a89f4e4790e5
integration_30/humann_publication_review/summary.json	729	0256ed4bb5468bfc11cc6758ac9352b927606b6bc4be4d9c2cd8613f9c6524c7
integration_30/humann_publication_review/summary.md	1056	9df42b72f495fc1d97b213e43339bceaa7e04be0545ada123d200579e58e3021
limitations.md	1233	d8eae5265d4920f1d7788cb5cf9667962c39f28112e0322114bd57eccc375e1b
